Date,윤석열,이재명,안철수,심상정,허경영,김경재,김민찬,김재연,오준호,옥은호,이경희,이백윤,조원진
2022.3.8 13h,9326,10459,1095,715,1136,0,0,24,7,1,0,12,18
2022.3.8 14h,9597,12525,964,770,1541,1,2,17,2,3,0,9,13
2022.3.8 15h,8581,9674,1311,659,1238,0,0,26,6,1,4,16,9
2022.3.8 16h,6525,7034,915,635,834,1,1,6,7,0,3,5,7
2022.3.8 17h,3612,3839,473,306,521,1,0,8,0,4,0,2,10
2022.3.8 18h,1985,2485,292,113,206,0,0,3,0,0,0,1,9
2022.3.8 19h,1553,2086,171,91,132,0,0,6,0,0,0,6,2
2022.3.8 20h,1898,2614,144,58,97,0,0,3,0,0,0,0,4
2022.3.8 21h,2838,3632,215,99,120,0,0,6,0,0,0,1,1
2022.3.8 22h,4250,5808,383,228,192,0,0,10,1,0,1,4,5
2022.3.8 23h,5753,8119,566,285,466,1,0,5,5,1,3,3,49
2022.3.9 0h,6455,9230,577,421,836,0,1,9,3,0,0,1,53
2022.3.9 1h,7473,10697,700,562,1374,0,0,24,2,0,2,1,54
2022.3.9 2h,8255,10823,726,728,1509,0,0,20,2,0,0,9,55
2022.3.9 3h,8510,10494,890,1444,1606,0,0,17,2,0,1,14,52
2022.3.9 4h,8501,10221,869,1259,1464,3,2,11,10,1,3,5,49
2022.3.9 5h,8218,10660,832,1365,1443,8,0,8,6,0,1,0,30
2022.3.9 6h,7720,10346,631,1857,1381,7,0,51,23,0,5,50,44
2022.3.9 7h,9048,10845,678,1888,1176,0,1,54,17,1,2,51,35
2022.3.9 8h,10464,10641,681,2020,1281,0,0,91,33,0,0,87,37
2022.3.9 9h,12622,11561,1833,2207,1685,0,1,151,7,1,0,151,16
2022.3.9 10h,30578,34653,2882,9416,3341,1,1,239,9,1,0,226,18
2022.3.9 11h,56274,84484,11624,37499,8957,0,2,551,2,5,0,404,21
2022.3.9 12h,56122,85123,6367,42616,9307,11,9,469,24,5,4,329,23
2022.3.9 13h,50413,85360,9298,42154,5647,7,3,699,38,1,1,517,17
2022.3.9 14h,51142,79498,5708,36778,5944,6,3,602,72,20,4,497,17
2022.3.9 15h,64822,75235,3635,28107,5407,36,1,182,96,7,1,436,10
2022.3.9 16h,78801,72900,2553,29886,9664,1,0,197,117,3,1,605,18
2022.3.9 17h,64504,54125,2053,15889,9112,0,0,63,14,2,0,333,7
2022.3.9 18h,44900,35866,1192,10131,4563,6,1,58,14,4,0,209,6
2022.3.9 19h,31754,31131,1318,9702,5783,0,0,24,4,0,0,115,5
2022.3.9 20h,14796,17060,760,3817,1779,0,0,10,0,0,1,83,6
2022.3.9 21h,16041,12914,706,3305,2384,0,0,5,0,0,1,44,6
2022.3.9 22h,35517,22176,1322,6866,5789,2,0,14,1,2,1,98,2
2022.3.9 23h,38427,25162,1579,8701,6315,1,0,30,7,0,1,210,6
2022.3.10 0h,32595,21505,1420,9096,3816,0,0,39,4,0,0,468,12
2022.3.10 1h,27566,20290,1239,6987,3389,1,0,49,4,0,0,427,3
2022.3.10 2h,28232,21103,1305,8045,3581,0,0,29,0,2,0,343,2
2022.3.10 3h,30534,22063,1315,15109,2992,0,1,69,7,1,1,315,3
2022.3.10 4h,27974,20574,1415,13907,1849,0,0,30,0,1,0,280,3
2022.3.10 5h,23034,18895,1324,8729,1385,0,0,81,9,0,0,207,1
2022.3.10 6h,20493,18807,1240,6577,1371,5,0,111,10,0,0,146,5
2022.3.10 7h,21229,17713,1016,5967,1394,1,0,67,0,0,0,262,2
2022.3.10 8h,22806,18042,1052,5962,1375,1,0,78,0,0,8,291,7
2022.3.10 9h,19874,18004,991,5101,1038,0,0,55,6,0,4,235,2
2022.3.10 10h,20035,17361,986,4388,828,0,0,30,0,0,1,150,8
2022.3.10 11h,19398,18571,1040,4050,713,0,0,52,6,0,0,221,8
2022.3.10 12h,19207,18379,835,4262,707,0,0,47,1,4,4,129,1
2022.3.10 13h,16962,22523,709,5210,665,1,0,46,1,2,1,133,2
2022.3.10 14h,18247,19191,616,3616,559,0,0,50,2,3,0,97,1
2022.3.10 15h,13085,14033,440,2642,503,0,0,35,2,1,2,53,7
2022.3.10 16h,7633,7909,314,1849,261,1,0,12,1,2,0,43,3
2022.3.10 17h,4364,4469,172,1063,153,1,0,25,1,0,0,21,2
2022.3.10 18h,2544,2737,86,569,80,0,0,5,0,0,0,22,6
2022.3.10 19h,1910,2522,102,348,62,0,0,4,0,3,0,12,4
2022.3.10 20h,1853,2594,112,312,63,0,0,3,0,2,0,4,5
2022.3.10 21h,3301,4091,175,561,88,0,0,4,0,0,0,7,3
2022.3.10 22h,6677,6996,272,1149,171,0,0,16,1,2,1,28,9
2022.3.10 23h,7871,9065,294,1619,200,0,0,19,1,3,0,37,9
2022.3.11 0h,8337,9407,273,1414,164,0,0,24,1,4,1,28,3
2022.3.11 1h,10030,10814,431,1485,191,1,0,16,0,13,1,38,3
2022.3.11 2h,11303,11495,493,1656,170,0,0,26,1,7,1,31,4
2022.3.11 3h,11926,11899,518,1787,137,0,0,18,0,6,0,41,3
2022.3.11 4h,12068,11777,532,1791,159,0,0,16,0,1,0,32,1
2022.3.11 5h,9690,11309,397,1756,106,0,0,16,1,1,0,25,2
2022.3.11 6h,9492,12706,405,1592,253,0,0,14,0,1,0,18,4
2022.3.11 7h,10846,15047,386,1972,801,0,0,9,0,0,0,18,0
2022.3.11 8h,12516,15007,424,1736,1017,0,0,8,0,0,1,6,6
2022.3.11 9h,12106,13408,324,1510,741,0,0,5,0,0,0,9,3
2022.3.11 10h,10135,12559,409,1462,657,0,0,9,0,0,0,10,0
2022.3.11 11h,10060,12387,388,1277,466,0,0,7,0,1,0,7,8
2022.3.11 12h,9552,11800,426,1192,335,0,0,11,0,0,0,5,2
2022.3.11 13h,10244,11141,487,1678,308,0,0,10,0,3,0,8,4
2022.3.11 14h,11240,10561,486,1482,299,1,0,8,0,0,0,11,1
2022.3.11 15h,8590,8890,298,1078,247,0,0,5,1,0,0,20,2
2022.3.11 16h,6228,6329,178,863,192,0,0,8,1,0,0,12,1
2022.3.11 17h,3862,4109,101,488,121,0,0,2,1,0,0,5,0
2022.3.11 18h,2287,2728,126,337,61,0,0,2,0,0,1,2,1
2022.3.11 19h,1599,2060,64,219,32,0,0,0,0,0,0,1,0
2022.3.11 20h,1474,2090,45,159,31,0,0,1,0,0,0,0,0
2022.3.11 21h,2298,2680,87,135,30,0,0,0,0,0,0,1,0
2022.3.11 22h,3192,4051,159,251,59,0,0,1,0,0,0,0,4
2022.3.11 23h,4764,5463,165,450,64,0,0,1,0,3,1,2,0
2022.3.12 0h,5820,6849,259,607,119,0,0,7,0,1,0,11,5
2022.3.12 1h,6391,7184,313,872,225,1,0,5,0,2,0,17,4
2022.3.12 2h,7182,7599,323,1018,230,1,0,12,0,1,0,19,2
2022.3.12 3h,6795,6687,350,1000,251,1,0,8,1,1,0,18,1
