,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Date,윤석열,이재명,안철수,심상정,허경영,김경재,김민찬,김재연,오준호,옥은호,이경희,이백윤,조원진
80,2022-03-08-10,8705,8565,801,642,1015,0,0,12,0,2,0,5,18
81,2022-03-08-11,9552,9554,880,565,940,0,0,28,2,1,0,6,58
82,2022-03-08-12,9869,10021,1099,558,934,0,0,14,6,0,0,24,38
83,2022-03-08-13,9326,10459,1095,715,1136,0,0,24,7,1,0,12,18
84,2022-03-08-14,9597,12525,964,770,1541,1,2,17,2,3,0,9,13
85,2022-03-08-15,8581,9674,1311,659,1238,0,0,26,6,1,4,16,9
86,2022-03-08-16,6525,7034,915,635,834,1,1,6,7,0,3,5,7
87,2022-03-08-17,3612,3839,473,306,521,1,0,8,0,4,0,2,10
88,2022-03-08-18,1985,2485,292,113,206,0,0,3,0,0,0,1,9
89,2022-03-08-19,1553,2086,171,91,132,0,0,6,0,0,0,6,2
90,2022-03-08-20,1898,2614,144,58,97,0,0,3,0,0,0,0,4
91,2022-03-08-21,2838,3632,215,99,120,0,0,6,0,0,0,1,1
92,2022-03-08-22,4250,5808,383,228,192,0,0,10,1,0,1,4,5
93,2022-03-08-23,5753,8119,566,285,466,1,0,5,5,1,3,3,49
94,2022-03-09-00,6455,9230,577,421,836,0,1,9,3,0,0,1,53
95,2022-03-09-01,7473,10697,700,562,1374,0,0,24,2,0,2,1,54
96,2022-03-09-02,8255,10823,726,728,1509,0,0,20,2,0,0,9,55
97,2022-03-09-03,8510,10494,890,1444,1606,0,0,17,2,0,1,14,52
98,2022-03-09-04,8501,10221,869,1259,1464,3,2,11,10,1,3,5,49
99,2022-03-09-05,8218,10660,832,1365,1443,8,0,8,6,0,1,0,30
100,2022-03-09-06,7720,10346,631,1857,1381,7,0,51,23,0,5,50,44
101,2022-03-09-07,9048,10845,678,1888,1176,0,1,54,17,1,2,51,35
102,2022-03-09-08,10464,10641,681,2020,1281,0,0,91,33,0,0,87,37
103,2022-03-09-09,12622,11561,1833,2207,1685,0,1,151,7,1,0,151,16
104,2022-03-09-10,30578,34653,2882,9416,3341,1,1,239,9,1,0,226,18
105,2022-03-09-11,56274,84484,11624,37499,8957,0,2,551,2,5,0,404,21
106,2022-03-09-12,56122,85123,6367,42616,9307,11,9,469,24,5,4,329,23
107,2022-03-09-13,50413,85360,9298,42154,5647,7,3,699,38,1,1,517,17
108,2022-03-09-14,51142,79498,5708,36778,5944,6,3,602,72,20,4,497,17
109,2022-03-09-15,64822,75235,3635,28107,5407,36,1,182,96,7,1,436,10
